"lon","lat","owner","watershed","type","form"
"-81.11634951668294","32.07224293137412","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.12190279888597","32.07227777288173","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.0958186513662","32.07204008823952","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0899303361668","32.07135230038645","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08699397105471","32.07132697117355","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12554482280262","32.07164185313868","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.1189253493488","32.071586604568665","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.11879063249512","32.07154580541234","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09015060715166","32.07128802828457","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12571461833797","32.071561126627685","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09609780961074","32.07130210218701","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0831163092721","32.071188042520134","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09000060289004","32.071244491424196","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12558021789827","32.07152772546824","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09599510384106","32.07127716839345","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11896688814606","32.07146479998747","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08325508508182","32.071156931364","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.11882864726884","32.07143238830177","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.12490220833496","32.07146356950943","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.08918876976122","32.07115340845441","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.12476819551581","32.071431543989554","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09531354612614","32.071182663600986","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09575435986947","32.07848940255746","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.09352090060774","32.07822649807157","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08638276433358","32.07817825666065","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.08512516752928","32.078136429868856","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.10152798727002","32.078270753361714","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09600388981636","32.078203255287086","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.0977297787","32.07692896886754","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.05369942445132","32.06756909403728","CITY-ROW","CASEY NORTH","CURB INLET",""
"-81.09901627610712","32.06700053766376","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.1024092624342","32.06701035208333","CITY-ROW","SPRINGFIELD NORTH","CURB INLET",""
"-81.09527567240346","32.06695001359633","CITY-ROW","BILBO BASIN","CURB INLET",""
"-81.16127903947545","32.06748026529453","CITY-ROW","HORSESHOE","CURB INLET",""
"-81.16038509468213","32.0674492937393","CITY-ROW","HORSESHOE","CURB INLET",""
